
"Results of DICE2023-b-4-3-10.csv: October 16, 2023"
"SCENARIO: OPTIMAL"
"Results of DICE2023-opt-b-4-3-10"
"OPTIMAL"
"This is optimal if ifopt = 1 and baseline if ifopt = 0"
"ifopt =",1.0000000000

"Temp Box 1",0.1477000000,0.1650693471,0.1832975899,0.2020899693,0.2211700131,0.2403433619,0.2594373043,0.2782966155,0.2967373470,0.3145286355,0.3314143457,0.3474543766,0.3627542964,0.3773975128,0.3914542007,0.4049847894,0.4211665655
"Temp Box 2",1.0994540000,1.2595200113,1.3624113855,1.4358859607,1.4886240320,1.5266632256,1.5525761017,1.5677510162,1.5711292749,1.5600747706,1.5324362227,1.5018175940,1.4743511683,1.4509181089,1.4312501859,1.4148897761,1.5445660376
"Alpha",0.4471535905,0.5119429272,0.5756344189,0.6346851818,0.6907093556,0.7410537807,0.7881066640,0.8307858906,0.8698454481,0.9035776818,0.9289015719,0.9356415671,0.9415113694,0.9474082918,0.9535201689,0.9598636626,0.8899216168
"IFR",43.9591365234,45.2584900670,46.4176855358,47.4093118757,48.2885719265,49.0344449067,49.6978603133,50.2740144475,50.7816088047,51.2058045922,51.5160849831,51.5975254155,51.6680678925,51.7385803546,51.8112900158,51.8863571040,51.0356048146
"cacc",334.9871986000,364.4776520527,398.9372449171,430.9022172097,461.4357751928,488.1506563026,513.2012882891,536.0645295579,557.9970697136,578.8463897864,597.5340718641,605.0161925351,611.3959806402,617.0339889640,622.0908550476,626.6620809819,549.9120275222
"ccatot",633.5000000000,692.0668304699,750.4255007116,802.2439985349,848.0943095304,887.2060961671,921.3370862513,950.1417067122,973.7809135139,990.9348274778,1000.0000000000,1000.0000000000,1000.0000000000,1000.0000000000,1000.0000000000,1000.0000000000,1000.0000000000
"Share of output net zero emissions",0.1090617324,0.0954302633,0.0837473264,0.0737011414,0.0650347257,0.0575354666,0.0510268183,0.0474495653,0.0442232354,0.0413058794,0.0386613036,0.0362581881,0.0340693535,0.0320711481,0.0302429352,0.0285666617,0.0270264950
"Growth p.c. cons (log)",0.0000000000,0.0196641277,0.0194385228,0.0190368687,0.0186285897,0.0183753924,0.0181565802,0.0178861063,0.0176512335,0.0175861752,0.0179697212,0.0191407532,0.0203645572,0.0224896234,0.0271888444,0.0393418158,-0.0027430771
"Change interest rate",0.0000000000,0.0444552709,-0.0006657275,-0.0008331270,-0.0008395737,-0.0006923990,-0.0006598864,-0.0007091181,-0.0006754505,-0.0005142801,-0.0000882595,0.0006596986,0.0007096783,0.0015657236,0.0040110169,0.0110919257,-0.0404341995
"Precautionary effect",0.0000000000,-0.0002256250,-0.0004512500,-0.0006768750,-0.0009025000,-0.0011281250,-0.0013537500,-0.0015793750,-0.0018050000,-0.0020306250,-0.0022562500,-0.0024818750,-0.0027075000,-0.0029331250,-0.0031587500,-0.0033843750,-0.0036100000
"Long interest rate(%)",0.0000000000,0.0444552709,0.0441224072,0.0437337436,0.0433295184,0.0429485034,0.0425845124,0.0422232162,0.0418678128,0.0415342457,0.0412585660,0.0410929825,0.0410141361,0.0410678603,0.0414004107,0.0424280828,0.0408001584
"RR1",1.0000000000,0.8780954309,0.7710515858,0.6770568745,0.5945205480,0.5220457768,0.4584060113,0.4025242240,0.3534546820,0.3103669413,0.2725317930,0.2393089222,0.2101360712,0.1845195240,0.1620257509,0.1422740716,0.1249302122
